Date,Open,High,Low,Close,Volume
2016-05-27,37.0,37.25,36.75,37.25,992000.0
2016-05-30,37.5,37.75,37.0,37.5,1076500.0
2016-05-31,37.5,37.75,37.0,37.75,998200.0
2016-06-01,37.75,37.75,37.0,37.0,513600.0
2016-06-02,37.25,37.75,37.25,37.25,1201900.0
2016-06-03,37.25,37.25,36.5,37.0,906000.0
2016-06-06,37.25,37.5,37.0,37.0,651800.0
2016-06-07,37.0,37.5,36.75,36.75,1318500.0
2016-06-08,36.75,36.75,35.75,36.5,2079500.0
2016-06-09,36.5,36.75,36.0,36.0,1226900.0
2016-06-10,36.0,36.75,35.75,36.75,1068700.0
2016-06-13,35.75,36.5,35.75,36.25,465500.0
2016-06-14,36.25,36.5,36.25,36.5,331300.0
2016-06-15,36.75,37.0,36.5,36.75,253400.0
2016-06-16,36.75,36.75,36.0,36.0,755200.0
2016-06-17,36.0,36.5,36.0,36.5,526400.0
2016-06-20,36.5,36.5,36.0,36.5,141000.0
2016-06-21,36.25,36.75,36.0,36.5,380500.0
2016-06-22,36.5,36.75,36.25,36.5,126500.0
2016-06-23,36.25,36.75,36.0,36.5,239100.0
2016-06-24,36.0,36.25,34.75,36.25,1851100.0
2016-06-27,36.25,36.75,36.0,36.75,494300.0
2016-06-28,36.5,36.75,36.25,36.75,274600.0
2016-06-29,36.75,37.75,36.5,37.75,2261100.0
2016-06-30,38.0,38.75,37.5,38.0,1933400.0
2016-07-04,38.25,38.5,37.75,38.25,1163100.0
2016-07-05,38.25,38.5,37.5,38.25,726400.0
2016-07-06,38.0,38.25,37.75,38.25,348900.0
2016-07-07,38.25,38.25,37.25,38.0,950300.0
2016-07-08,38.25,38.25,37.75,38.0,268100.0
2016-07-11,38.0,39.25,37.75,39.25,2176200.0
2016-07-12,40.0,41.5,39.75,40.75,6856600.0
2016-07-13,41.0,41.0,39.25,39.5,1716300.0
2016-07-14,39.5,40.0,39.0,39.5,629600.0
2016-07-15,39.75,40.0,39.0,39.5,757200.0
2016-07-20,39.75,40.0,39.0,39.5,888900.0
2016-07-21,39.5,40.25,39.25,39.75,1231600.0
2016-07-22,39.75,39.75,39.0,39.25,1299400.0
2016-07-25,39.5,39.5,39.0,39.25,327300.0
2016-07-26,39.5,39.5,39.0,39.0,319000.0
2016-07-27,39.0,39.5,39.0,39.5,183500.0
2016-07-28,39.5,40.75,39.0,40.25,2195100.0
2016-07-29,40.75,42.0,40.25,41.25,3414700.0
2016-08-01,41.25,41.5,40.5,41.0,2125100.0
2016-08-02,40.75,41.0,39.75,39.75,422400.0
2016-08-03,39.5,40.25,39.25,39.5,1331100.0
2016-08-04,39.5,39.5,38.5,38.75,2376400.0
2016-08-05,38.75,39.0,38.5,38.75,561800.0
2016-08-08,39.5,39.75,39.0,39.0,1736000.0
2016-08-09,39.25,39.75,39.0,39.5,1860100.0
2016-08-10,39.75,39.75,38.75,39.0,2317600.0
2016-08-11,39.0,39.5,38.75,39.0,459400.0
2016-08-15,38.5,39.0,38.5,38.5,549000.0
2016-08-16,38.5,38.75,37.75,37.75,763000.0
2016-08-17,37.25,37.75,37.25,37.5,884600.0
2016-08-18,37.25,38.25,37.25,38.25,525100.0
2016-08-19,38.0,38.25,37.75,37.75,235000.0
2016-08-22,37.75,38.0,37.75,37.75,149600.0
2016-08-23,37.75,38.0,37.5,38.0,121000.0
2016-08-24,38.25,39.0,38.0,38.25,758800.0
2016-08-25,38.75,39.5,38.25,38.25,1102300.0
2016-08-26,38.5,38.75,38.25,38.25,152600.0
2016-08-29,38.25,38.75,38.25,38.25,154100.0
2016-08-30,38.5,38.75,38.25,38.5,115600.0
2016-08-31,38.75,38.75,38.25,38.5,168200.0
2016-09-01,38.5,38.75,37.0,37.25,1935600.0
2016-09-02,37.0,37.5,36.5,36.75,1225400.0
2016-09-05,37.0,37.0,36.0,36.75,1435000.0
2016-09-06,36.25,36.5,36.0,36.0,321100.0
2016-09-07,36.25,37.0,36.25,36.25,760500.0
2016-09-08,36.25,36.5,35.0,35.75,1051300.0
2016-09-09,35.5,36.0,35.0,36.0,358600.0
2016-09-12,35.5,35.5,34.75,35.0,757200.0
2016-09-13,35.0,35.5,35.0,35.0,380700.0
2016-09-14,35.25,35.25,34.75,35.0,389200.0
2016-09-15,35.25,37.0,35.0,36.25,960800.0
2016-09-16,36.5,37.0,36.5,37.0,470500.0
2016-09-19,37.0,37.0,36.5,36.75,94200.0
2016-09-20,36.75,36.75,36.0,36.25,69900.0
2016-09-21,36.5,36.75,36.25,36.5,104900.0
2016-09-22,36.5,37.5,36.5,37.5,818700.0
2016-09-23,37.5,37.5,36.5,37.0,410200.0
2016-09-26,36.75,37.25,36.5,36.75,288700.0
2016-09-27,37.0,37.0,36.5,36.75,167700.0
2016-09-28,36.75,36.75,36.25,36.25,228500.0
2016-09-29,36.25,36.75,36.25,36.5,139600.0
2016-09-30,36.5,36.75,36.25,36.25,35000.0
2016-10-03,36.25,36.5,36.25,36.25,316000.0
2016-10-04,36.5,37.25,36.25,37.25,911800.0
2016-10-05,37.5,37.5,36.75,36.75,210200.0
2016-10-06,37.0,37.25,36.75,37.0,150600.0
2016-10-07,37.0,37.0,36.75,36.75,82900.0
2016-10-10,36.5,36.5,35.75,36.0,1006800.0
2016-10-11,36.0,36.25,35.5,36.25,747200.0
2016-10-12,36.25,36.25,33.0,35.5,1955100.0
2016-10-13,35.25,35.25,33.75,34.25,964100.0
2016-10-14,35.25,35.75,35.0,35.5,550500.0
2016-10-17,35.5,36.25,35.25,36.0,1097800.0
2016-10-18,36.25,36.25,35.5,36.0,203300.0
2016-10-19,35.75,36.0,35.5,36.0,317400.0
2016-10-20,36.25,36.25,35.75,36.0,218800.0
2016-10-21,36.0,36.75,35.75,36.25,364800.0
2016-10-25,36.75,37.5,36.5,37.25,679100.0
2016-10-26,37.25,37.25,36.5,36.75,289400.0
2016-10-27,37.0,37.25,36.75,36.75,238600.0
2016-10-28,36.75,37.25,36.75,37.0,298300.0
2016-10-31,37.0,37.75,37.0,37.5,1010900.0
2016-11-01,38.0,39.5,37.75,39.25,2966500.0
2016-11-02,39.0,39.25,38.25,39.25,720200.0
2016-11-03,39.0,39.0,38.0,38.0,540000.0
2016-11-04,38.25,38.25,37.25,38.0,578900.0
2016-11-07,37.75,38.5,37.75,38.0,257400.0
2016-11-08,38.25,39.0,38.0,38.5,752600.0
2016-11-09,38.25,38.5,37.75,38.25,514800.0
2016-11-10,38.5,39.0,38.0,38.75,698700.0
2016-11-11,38.25,38.5,38.0,38.0,287700.0
2016-11-14,38.25,38.25,37.5,37.5,232200.0
2016-11-15,37.5,38.25,37.5,37.75,171200.0
2016-11-16,37.75,38.25,37.5,38.25,841700.0
2016-11-17,38.5,38.5,37.5,37.75,857100.0
2016-11-18,37.75,38.0,37.5,37.75,242200.0
2016-11-21,37.75,39.25,37.75,39.25,1502400.0
2016-11-22,39.25,39.25,38.0,38.5,610400.0
2016-11-23,38.75,39.25,38.5,39.0,1083200.0
2016-11-24,39.0,39.25,38.75,39.25,1073700.0
2016-11-25,39.25,39.75,39.25,39.5,1514300.0
2016-11-28,39.5,39.5,38.75,39.0,160800.0
2016-11-29,38.75,39.25,38.25,38.75,517900.0
2016-11-30,39.0,39.0,38.5,38.5,144200.0
2016-12-01,39.0,39.0,38.5,38.5,315300.0
2016-12-02,38.5,38.75,38.25,38.5,95400.0
2016-12-06,38.75,38.75,38.0,38.0,180900.0
2016-12-07,38.0,38.5,38.0,38.25,323500.0
