Date,Open,High,Low,Close,Volume
2016-05-27,159.0,160.5,158.0,160.5,3943100.0
2016-05-30,161.5,164.0,160.5,164.0,6706000.0
2016-05-31,164.0,164.5,162.0,163.5,3610000.0
2016-06-01,163.0,165.0,162.0,163.0,3985900.0
2016-06-02,162.5,163.0,162.0,162.0,4469800.0
2016-06-03,162.5,164.0,162.5,163.0,6116300.0
2016-06-06,164.0,167.0,163.5,165.5,6309600.0
2016-06-07,166.5,167.5,165.0,165.0,5750900.0
2016-06-08,165.0,165.5,163.5,164.5,3998900.0
2016-06-09,164.5,166.0,163.5,163.5,2539600.0
2016-06-10,163.5,164.5,162.5,163.5,3902000.0
2016-06-13,162.0,162.5,160.5,162.5,6039900.0
2016-06-14,162.0,165.0,162.0,164.0,4220100.0
2016-06-15,164.5,165.5,163.0,164.5,5681000.0
2016-06-16,163.0,163.0,157.0,158.5,8657100.0
2016-06-17,159.0,159.0,157.0,158.0,4816400.0
2016-06-20,158.0,159.0,155.5,157.0,4588500.0
2016-06-21,156.5,159.0,156.0,158.0,3671500.0
2016-06-22,159.0,159.5,157.5,158.0,2274500.0
2016-06-23,157.0,161.0,157.0,161.0,4448800.0
2016-06-24,156.5,159.0,155.0,158.0,7695700.0
2016-06-27,157.0,160.0,156.0,157.5,4834800.0
2016-06-28,157.5,159.5,157.0,159.0,3957100.0
2016-06-29,160.0,161.5,159.0,160.0,7184600.0
2016-06-30,161.0,161.5,157.0,158.5,7771200.0
2016-07-04,162.0,165.5,161.5,163.5,12270700.0
2016-07-05,163.5,166.5,163.5,165.0,5797300.0
2016-07-06,163.5,164.5,163.0,164.5,2832900.0
2016-07-07,165.0,165.5,163.5,164.0,4180200.0
2016-07-08,163.0,163.5,161.0,161.5,5929100.0
2016-07-11,163.0,165.0,163.0,165.0,4720800.0
2016-07-12,166.0,167.5,164.5,166.5,7231300.0
2016-07-13,167.5,167.5,165.5,166.5,3469800.0
2016-07-14,167.0,170.5,166.0,170.5,9318800.0
2016-07-15,170.0,172.5,170.0,171.5,7911800.0
2016-07-20,172.0,172.5,170.5,172.0,4533800.0
2016-07-21,172.5,172.5,170.5,171.5,2629800.0
2016-07-22,168.0,168.0,164.5,166.0,16131900.0
2016-07-25,165.0,166.0,163.0,166.0,9627900.0
2016-07-26,166.0,166.5,164.0,164.5,6082400.0
2016-07-27,165.5,166.5,164.5,165.5,5510100.0
2016-07-28,165.5,171.0,165.0,170.5,15569300.0
2016-07-29,171.0,172.0,170.0,170.5,9815800.0
2016-08-01,171.0,171.5,166.0,167.0,8565000.0
2016-08-02,166.5,167.5,165.0,165.5,2564300.0
2016-08-03,165.5,170.0,165.5,169.0,4804900.0
2016-08-04,169.0,169.5,167.0,167.0,3231100.0
2016-08-05,169.0,169.5,168.0,168.0,4855300.0
2016-08-08,172.0,175.0,171.5,174.5,10291700.0
2016-08-09,174.5,177.0,173.0,176.5,7724100.0
2016-08-10,176.5,178.0,174.5,176.5,6583700.0
2016-08-11,175.5,177.0,174.0,175.0,5817500.0
2016-08-15,173.5,178.0,173.5,177.0,5429500.0
2016-08-16,178.5,178.5,173.0,174.0,6488800.0
2016-08-17,173.5,174.0,171.0,173.5,7769900.0
2016-08-18,174.0,179.0,174.0,177.5,9546600.0
2016-08-19,177.5,178.0,175.0,175.0,4084600.0
2016-08-22,175.0,177.5,175.0,176.5,3821800.0
2016-08-23,175.5,175.5,173.5,174.5,4580600.0
2016-08-24,174.0,176.0,173.0,175.0,10342400.0
2016-08-25,174.5,175.0,171.5,171.5,7830200.0
2016-08-26,172.0,173.5,172.0,172.5,5550600.0
2016-08-29,172.5,173.0,171.0,172.0,2803200.0
2016-08-30,172.5,173.0,171.0,171.0,4575800.0
2016-08-31,170.5,171.0,169.0,169.5,6484400.0
2016-09-01,169.0,169.5,167.5,168.0,7301800.0
