Date,Open,High,Low,Close,Volume
2016-05-27,40.75,41.25,40.5,40.75,1282500.0
2016-05-30,41.0,41.75,40.75,41.75,2648600.0
2016-05-31,41.75,42.25,41.5,41.5,2240400.0
2016-06-01,41.5,42.0,41.25,41.25,1509100.0
2016-06-02,41.5,42.0,41.5,41.5,859800.0
2016-06-03,41.25,42.5,41.25,42.25,1744100.0
2016-06-06,42.25,42.5,42.0,42.25,835600.0
2016-06-07,42.25,42.5,41.75,42.0,1399200.0
2016-06-08,41.75,42.0,41.5,41.5,781800.0
2016-06-09,41.75,41.75,41.0,41.0,767800.0
2016-06-10,41.25,41.5,40.5,41.0,1455100.0
2016-06-13,41.0,41.25,40.75,41.0,607300.0
2016-06-14,41.0,41.25,40.75,41.0,440400.0
2016-06-15,41.25,41.5,40.75,41.0,885100.0
2016-06-16,41.0,41.0,40.25,40.5,1514900.0
2016-06-17,40.0,40.5,39.75,40.25,1670600.0
2016-06-20,40.25,41.0,40.25,40.75,1286000.0
2016-06-21,40.75,41.25,40.5,40.75,1718800.0
2016-06-22,41.0,41.75,40.25,40.25,2431400.0
2016-06-23,40.5,41.0,40.25,40.75,2321300.0
2016-06-24,40.25,42.0,39.5,41.5,5732200.0
2016-06-27,41.75,41.75,41.0,41.25,1547300.0
2016-06-28,41.5,42.0,41.25,41.75,952000.0
2016-06-29,42.0,43.5,42.0,43.5,7611500.0
2016-06-30,44.5,44.75,43.25,43.5,5482000.0
2016-07-04,44.25,44.5,43.75,44.25,3256300.0
2016-07-05,44.5,45.75,44.5,45.0,7872000.0
2016-07-06,45.5,46.0,45.0,45.5,7099700.0
2016-07-07,46.0,47.25,46.0,47.25,11001500.0
2016-07-08,47.5,48.25,47.5,47.75,8693700.0
2016-07-11,48.0,48.5,46.75,48.5,3779200.0
2016-07-12,48.5,48.5,46.5,47.25,4296000.0
2016-07-13,47.25,48.25,46.25,47.5,3639300.0
2016-07-14,48.0,48.25,47.25,48.0,2115800.0
2016-07-15,48.5,52.0,48.25,51.0,13084900.0
2016-07-20,52.25,53.25,51.25,51.75,6613400.0
2016-07-21,51.75,52.0,49.0,49.25,9102000.0
2016-07-22,49.75,51.0,49.5,51.0,4298000.0
2016-07-25,51.0,51.25,50.25,51.25,1415700.0
2016-07-26,51.25,51.25,50.5,51.0,2600900.0
2016-07-27,51.0,52.25,51.0,52.0,5679200.0
2016-07-28,52.0,52.5,51.75,51.75,3652800.0
2016-07-29,52.0,52.5,51.75,52.5,2437800.0
2016-08-01,52.75,53.0,51.5,52.0,3347000.0
2016-08-02,52.0,52.25,51.25,51.25,2402900.0
2016-08-03,51.75,51.75,50.5,50.75,4786700.0
2016-08-04,51.0,51.25,49.0,49.5,7436600.0
2016-08-05,49.75,49.75,47.0,47.5,12088600.0
2016-08-08,48.5,48.5,47.75,48.0,6094800.0
2016-08-09,48.25,50.25,48.25,50.0,9076100.0
2016-08-10,50.0,50.5,49.0,49.5,6857200.0
2016-08-11,49.5,49.75,49.0,49.5,2649300.0
2016-08-15,49.0,49.75,48.75,49.5,1033600.0
2016-08-16,49.25,49.5,47.5,49.0,4239600.0
2016-08-17,48.5,49.0,47.75,47.75,2570300.0
2016-08-18,48.25,48.75,48.0,48.75,5728100.0
2016-08-19,49.0,49.25,48.75,49.0,2208200.0
2016-08-22,49.0,49.75,49.0,49.75,2046300.0
2016-08-23,49.75,50.0,49.5,50.0,2005700.0
2016-08-24,50.25,50.5,49.5,50.0,3238800.0
2016-08-25,50.25,51.0,49.25,50.75,6416700.0
2016-08-26,51.0,52.0,51.0,52.0,5107100.0
2016-08-29,52.0,52.0,50.75,51.25,3854200.0
2016-08-30,51.25,51.25,50.25,51.0,3634300.0
2016-08-31,51.0,51.75,51.0,51.75,2275000.0
2016-09-01,51.75,51.75,50.75,50.75,4240400.0
2016-09-02,51.25,51.5,50.5,50.5,3979300.0
2016-09-05,50.75,51.0,48.0,49.5,8161000.0
2016-09-06,47.25,48.25,46.75,47.75,5201300.0
2016-09-07,48.25,49.25,48.25,48.5,3068900.0
2016-09-08,48.25,48.75,47.25,47.5,2379300.0
2016-09-09,47.75,48.5,47.5,48.25,3554800.0
2016-09-12,47.25,48.25,47.25,47.75,2434300.0
2016-09-13,48.25,49.5,48.0,49.0,3564800.0
2016-09-14,49.0,49.0,48.5,49.0,849100.0
2016-09-15,49.25,49.75,48.75,49.25,2250300.0
2016-09-16,49.25,49.75,49.25,49.75,5938300.0
2016-09-19,50.0,50.5,49.5,50.25,2770300.0
2016-09-20,50.5,50.75,50.0,50.25,3986700.0
2016-09-21,50.75,52.0,50.5,51.75,7081500.0
2016-09-22,52.0,55.5,51.75,55.0,21268700.0
2016-09-23,55.0,57.25,54.0,57.0,15493400.0
2016-09-26,56.5,57.5,55.5,55.75,11665300.0
2016-09-27,56.0,56.5,55.0,55.75,5808500.0
2016-09-28,55.5,56.75,54.5,54.75,6078600.0
