Date,Open,High,Low,Close,Volume
2016-05-27,16.700001,16.9,16.6,16.9,24028200.0
2016-05-30,17.0,17.200001,16.9,17.200001,52033800.0
2016-05-31,17.299999,17.299999,17.0,17.1,47239200.0
2016-06-01,17.1,17.299999,17.0,17.0,28244200.0
2016-06-02,17.0,17.200001,17.0,17.1,13066800.0
2016-06-03,17.200001,17.299999,17.1,17.299999,38133600.0
2016-06-06,17.4,17.6,17.299999,17.4,59351100.0
2016-06-07,17.5,17.6,17.299999,17.299999,36939300.0
2016-06-08,17.4,17.4,17.200001,17.4,21762300.0
2016-06-09,17.5,17.5,17.1,17.1,27640300.0
2016-06-10,17.1,17.299999,17.1,17.1,13661400.0
2016-06-13,17.0,17.1,16.700001,16.799999,36436900.0
2016-06-14,16.799999,17.0,16.799999,16.9,23373200.0
2016-06-15,16.9,17.0,16.799999,16.9,20929700.0
2016-06-16,16.9,16.9,16.5,16.6,46891200.0
2016-06-17,16.700001,16.700001,16.5,16.6,32679300.0
2016-06-20,16.6,16.700001,16.4,16.4,53738400.0
2016-06-21,16.5,16.700001,16.4,16.5,30375200.0
2016-06-22,16.5,16.700001,16.5,16.6,16848700.0
2016-06-23,16.6,16.799999,16.299999,16.700001,47094300.0
2016-06-24,16.299999,16.5,16.200001,16.299999,122409600.0
2016-06-27,16.4,16.6,16.200001,16.5,52244700.0
2016-06-28,16.5,16.700001,16.299999,16.6,40945000.0
2016-06-29,16.700001,16.799999,16.6,16.700001,59128400.0
2016-06-30,16.799999,16.9,16.200001,16.299999,121760300.0
2016-07-04,16.5,16.799999,16.4,16.799999,74032400.0
2016-07-05,16.700001,16.9,16.700001,16.799999,50781700.0
2016-07-06,16.700001,16.700001,16.5,16.700001,22634200.0
2016-07-07,16.700001,16.799999,16.5,16.5,31792300.0
2016-07-08,16.5,16.6,16.4,16.5,28266400.0
2016-07-11,16.6,16.700001,16.5,16.6,20326700.0
2016-07-12,16.700001,16.799999,16.6,16.700001,37326300.0
2016-07-13,16.799999,16.799999,16.6,16.6,21698400.0
2016-07-14,16.700001,17.200001,16.6,17.200001,121553800.0
2016-07-15,17.200001,17.200001,16.799999,17.0,69375500.0
2016-07-20,17.200001,17.200001,17.0,17.200001,48195300.0
2016-07-21,17.200001,17.200001,16.9,16.9,31458200.0
2016-07-22,17.1,17.200001,17.0,17.1,84254100.0
2016-07-25,17.1,17.4,17.1,17.200001,89242200.0
2016-07-26,17.299999,17.4,17.0,17.1,48292800.0
2016-07-27,17.299999,17.299999,17.1,17.299999,30231900.0
2016-07-28,17.299999,17.5,17.1,17.5,108375500.0
2016-07-29,17.6,17.700001,17.4,17.4,85183400.0
2016-08-01,17.5,17.700001,17.299999,17.5,56759700.0
2016-08-02,17.5,17.5,17.200001,17.200001,31711700.0
2016-08-03,17.200001,17.4,17.200001,17.4,22845000.0
2016-08-04,17.5,17.799999,17.4,17.5,58676900.0
2016-08-05,17.700001,17.700001,17.5,17.700001,30149300.0
2016-08-08,18.0,18.1,17.799999,18.0,114533600.0
2016-08-09,18.0,18.299999,17.9,18.299999,105276800.0
2016-08-10,18.4,18.4,18.1,18.1,71661900.0
2016-08-11,18.200001,18.6,18.1,18.4,120928900.0
2016-08-15,18.4,19.299999,18.299999,19.1,208657100.0
2016-08-16,19.299999,19.299999,18.799999,19.0,136055000.0
2016-08-17,18.9,19.0,18.700001,18.9,98172000.0
2016-08-18,19.0,19.5,18.9,19.4,125762200.0
2016-08-19,19.299999,19.4,19.0,19.0,50326900.0
2016-08-22,19.0,19.200001,18.4,18.6,182184800.0
2016-08-23,18.5,18.700001,18.4,18.6,107677100.0
2016-08-24,18.6,19.0,18.5,18.9,75217700.0
2016-08-25,19.0,19.200001,18.799999,18.799999,61695900.0
2016-08-26,18.9,19.200001,18.799999,18.9,47915200.0
2016-08-29,18.9,19.1,18.700001,18.9,37964800.0
2016-08-30,19.0,19.1,18.799999,18.9,23031200.0
2016-08-31,19.0,19.0,18.799999,19.0,44350800.0
2016-09-01,19.0,19.1,18.6,18.6,48098400.0
2016-09-02,18.6,18.6,17.9,18.1,168405000.0
2016-09-05,18.200001,18.200001,17.700001,17.700001,122141900.0
2016-09-06,17.799999,18.0,17.5,17.6,124808500.0
2016-09-07,17.6,18.1,17.6,17.700001,86618200.0
2016-09-08,17.700001,17.799999,17.4,17.4,68203400.0
2016-09-09,17.4,17.6,17.200001,17.5,94118500.0
2016-09-12,17.200001,17.4,17.0,17.0,88900800.0
2016-09-13,17.299999,17.6,17.200001,17.5,69094700.0
2016-09-14,17.5,18.0,17.4,17.9,75323800.0
2016-09-15,17.799999,18.0,17.6,18.0,42138800.0
2016-09-16,18.0,18.0,17.799999,18.0,87244300.0
2016-09-19,18.0,18.200001,17.9,18.0,40752800.0
2016-09-20,18.0,18.1,17.799999,18.0,52323400.0
2016-09-21,18.0,18.1,17.9,18.1,64260900.0
2016-09-22,18.4,18.4,18.200001,18.4,50689200.0
2016-09-23,18.299999,18.4,17.9,18.200001,63900600.0
2016-09-26,18.0,18.1,17.799999,18.0,36384800.0
2016-09-27,18.0,18.1,17.799999,17.799999,28208700.0
2016-09-28,17.799999,17.9,17.700001,17.9,40084000.0
2016-09-29,18.0,18.1,17.700001,17.700001,34129200.0
2016-09-30,17.700001,17.9,17.6,17.6,48544900.0
2016-10-03,17.700001,17.9,17.700001,17.799999,13361500.0
2016-10-04,17.799999,18.4,17.799999,18.4,62835700.0
2016-10-05,18.4,18.5,18.200001,18.299999,42995600.0
2016-10-06,18.299999,18.4,18.1,18.200001,34072600.0
2016-10-07,18.1,18.200001,17.9,17.9,34859600.0
2016-10-10,17.5,17.700001,17.4,17.5,74466600.0
2016-10-11,17.700001,17.700001,17.299999,17.4,56332000.0
2016-10-12,17.4,17.4,16.6,17.0,166673900.0
2016-10-13,16.9,17.200001,16.700001,17.1,74353700.0
2016-10-14,17.5,17.9,17.4,17.799999,72849800.0
2016-10-17,17.6,17.700001,17.299999,17.5,36010500.0
2016-10-18,17.6,17.6,17.299999,17.4,24549200.0
2016-10-19,17.299999,17.4,17.200001,17.299999,47620400.0
2016-10-20,17.4,17.6,17.299999,17.5,39659700.0
2016-10-21,17.700001,17.799999,17.6,17.700001,27450800.0
2016-10-25,17.799999,17.9,17.700001,17.700001,21525900.0
2016-10-26,17.700001,17.799999,17.5,17.5,25312000.0
2016-10-27,17.6,17.799999,17.5,17.700001,32633700.0
2016-10-28,17.700001,17.799999,17.299999,17.5,32423100.0
2016-10-31,17.4,17.5,17.200001,17.200001,47165000.0
2016-11-01,17.200001,17.4,17.200001,17.299999,22495900.0
2016-11-02,17.200001,17.299999,17.1,17.299999,21712300.0
2016-11-03,17.299999,17.299999,17.200001,17.200001,13396300.0
2016-11-04,17.200001,17.299999,17.0,17.1,31997000.0
2016-11-07,17.200001,17.4,17.200001,17.4,49974400.0
2016-11-08,17.299999,17.5,17.200001,17.299999,44051400.0
2016-11-09,17.1,17.4,17.0,17.299999,55023200.0
2016-11-10,17.4,17.5,17.200001,17.200001,43839100.0
2016-11-11,17.200001,17.200001,16.9,17.0,60361700.0
2016-11-14,17.0,17.1,16.799999,17.0,38614100.0
2016-11-15,17.0,17.1,16.9,17.0,18140700.0
2016-11-16,17.1,17.299999,17.0,17.1,34649600.0
2016-11-17,17.200001,17.200001,16.9,17.0,34079500.0
2016-11-18,17.0,17.200001,17.0,17.1,13669300.0
2016-11-21,17.1,17.200001,16.9,16.9,23069600.0
2016-11-22,17.0,17.1,16.9,17.0,19962500.0
2016-11-23,17.0,17.200001,17.0,17.200001,11425600.0
2016-11-24,17.1,17.200001,17.0,17.0,9550800.0
2016-11-25,17.1,17.1,17.0,17.1,4883100.0
2016-11-28,17.1,17.200001,17.0,17.1,12234700.0
2016-11-29,17.1,17.200001,17.0,17.0,23930400.0
2016-11-30,17.1,17.6,17.0,17.6,51010400.0
2016-12-01,17.5,17.6,17.4,17.4,17628800.0
2016-12-02,17.4,17.5,17.200001,17.200001,9672100.0
2016-12-06,17.299999,17.6,17.299999,17.6,40545800.0
2016-12-07,17.5,17.6,17.4,17.5,12677900.0
