Date,Open,High,Low,Close,Volume
2016-05-27,1.75,1.77,1.74,1.76,11376400.0
2016-05-30,1.77,1.78,1.76,1.77,16612700.0
2016-05-31,1.77,1.78,1.73,1.73,45138300.0
2016-06-01,1.74,1.77,1.74,1.74,20357200.0
2016-06-02,1.74,1.78,1.74,1.78,46438900.0
2016-06-03,1.78,1.79,1.76,1.78,36175900.0
2016-06-06,1.79,1.82,1.75,1.76,109024500.0
2016-06-07,1.77,1.78,1.76,1.76,11167000.0
2016-06-08,1.77,1.77,1.74,1.76,17676300.0
2016-06-09,1.81,1.82,1.77,1.78,133554000.0
2016-06-10,1.79,1.8,1.77,1.78,23297400.0
2016-06-13,1.78,1.78,1.76,1.77,8919200.0
2016-06-14,1.77,1.79,1.77,1.79,12967300.0
2016-06-15,1.8,1.8,1.78,1.8,13436400.0
2016-06-16,1.8,1.8,1.76,1.77,14982300.0
2016-06-17,1.77,1.78,1.77,1.78,9165600.0
2016-06-20,1.78,1.78,1.75,1.75,14707400.0
2016-06-21,1.76,1.77,1.75,1.76,18833100.0
2016-06-22,1.76,1.77,1.73,1.73,15678900.0
2016-06-23,1.73,1.76,1.73,1.75,9038800.0
2016-06-24,1.72,1.75,1.71,1.74,24096300.0
2016-06-27,1.73,1.75,1.73,1.75,17346300.0
2016-06-28,1.74,1.76,1.74,1.75,7595200.0
2016-06-29,1.76,1.77,1.75,1.76,19489600.0
2016-06-30,1.77,1.78,1.75,1.75,14047800.0
2016-07-04,1.76,1.77,1.74,1.75,52571200.0
2016-07-05,1.75,1.77,1.74,1.74,26455000.0
2016-07-06,1.75,1.76,1.74,1.75,10528700.0
2016-07-07,1.76,1.77,1.75,1.76,16914600.0
2016-07-08,1.76,1.77,1.75,1.76,3139200.0
2016-07-11,1.77,1.78,1.75,1.77,24004600.0
2016-07-12,1.78,1.78,1.75,1.75,28295300.0
2016-07-13,1.76,1.76,1.74,1.75,23366900.0
2016-07-14,1.75,1.76,1.74,1.75,17156800.0
2016-07-15,1.75,1.88,1.75,1.86,342369400.0
2016-07-20,1.88,1.9,1.86,1.86,205099400.0
