Date,Open,High,Low,Close,Volume
2016-05-27,33.5,33.5,33.25,33.25,3701100.0
2016-05-30,33.5,34.0,33.25,33.5,2813200.0
2016-05-31,33.75,34.0,33.5,34.0,3358000.0
2016-06-01,34.0,34.25,33.75,34.0,3007700.0
2016-06-02,33.75,34.5,33.75,34.25,2400800.0
2016-06-03,34.25,34.5,34.0,34.25,2212500.0
2016-06-06,34.5,34.5,34.25,34.5,2315500.0
2016-06-07,34.5,35.0,34.5,34.5,5268700.0
2016-06-08,34.5,34.5,34.0,34.25,3365100.0
2016-06-09,34.5,34.5,34.0,34.25,1613500.0
2016-06-10,34.25,34.5,34.0,34.5,2373600.0
2016-06-13,34.25,34.5,34.0,34.0,2396800.0
2016-06-14,34.0,34.75,34.0,34.75,1530200.0
2016-06-15,34.75,35.25,34.25,35.0,5694900.0
2016-06-16,34.75,34.75,33.75,34.0,6309300.0
2016-06-17,34.0,34.75,34.0,34.75,4931900.0
2016-06-20,34.75,35.0,34.5,34.75,2945300.0
2016-06-21,35.0,35.0,34.5,35.0,2297500.0
2016-06-22,35.0,35.0,34.5,34.5,901200.0
2016-06-23,34.75,35.0,34.5,35.0,2691900.0
2016-06-24,34.0,34.75,33.75,34.75,8678200.0
2016-06-27,34.5,35.0,34.25,34.75,1686500.0
2016-06-28,34.75,35.25,34.5,35.25,4444100.0
2016-06-29,35.25,36.0,35.0,35.75,6405200.0
2016-06-30,35.75,36.75,34.75,35.0,14011900.0
2016-07-04,35.25,36.0,34.75,35.5,16231000.0
2016-07-05,35.5,36.5,35.5,36.25,5131400.0
2016-07-06,36.0,37.0,36.0,36.75,5563100.0
2016-07-07,37.0,37.75,36.75,37.5,14420900.0
2016-07-08,37.75,38.5,37.5,38.0,11673700.0
2016-07-11,38.25,38.75,38.25,38.75,11185100.0
2016-07-12,38.75,39.25,38.25,39.0,7370000.0
2016-07-13,39.0,39.25,38.0,38.5,5780300.0
2016-07-14,38.5,38.75,38.0,38.25,7142200.0
2016-07-15,38.5,39.25,38.5,39.25,10336000.0
2016-07-20,39.5,40.25,39.25,39.75,12743300.0
2016-07-21,40.0,40.0,38.75,38.75,7535600.0
2016-07-22,38.75,39.25,38.75,39.25,6164400.0
2016-07-25,39.25,39.75,39.0,39.25,6529800.0
2016-07-26,39.5,40.0,39.0,40.0,8315200.0
2016-07-27,39.75,40.5,39.5,40.5,6810300.0
2016-07-28,40.5,40.5,40.0,40.0,5006100.0
2016-07-29,40.0,40.75,40.0,40.75,9525600.0
2016-08-01,40.75,40.75,40.0,40.25,5687100.0
2016-08-02,40.25,40.25,39.75,39.75,4852200.0
2016-08-03,39.75,40.25,39.75,40.0,3830200.0
2016-08-04,40.25,41.0,40.25,40.75,10788600.0
2016-08-05,40.5,41.0,40.5,40.5,3452700.0
2016-08-08,41.0,41.0,40.0,40.75,4954100.0
2016-08-09,40.75,40.75,40.25,40.75,5630800.0
2016-08-10,40.75,40.75,40.25,40.75,4166000.0
2016-08-11,40.75,40.75,40.0,40.5,4953800.0
2016-08-15,40.25,40.75,40.0,40.25,5006700.0
2016-08-16,40.5,40.5,38.5,39.0,9252000.0
2016-08-17,39.0,39.0,38.5,38.5,2481400.0
2016-08-18,38.75,39.5,38.5,39.0,7376500.0
2016-08-19,39.0,39.0,38.5,38.5,1262100.0
2016-08-22,38.5,39.0,38.5,39.0,1941500.0
2016-08-23,38.75,39.0,38.5,39.0,1309400.0
2016-08-24,39.0,39.5,38.75,39.5,2123400.0
2016-08-25,39.25,39.5,39.0,39.25,2291700.0
2016-08-26,39.25,39.75,39.0,39.25,2913200.0
2016-08-29,39.5,39.5,39.0,39.25,1215900.0
2016-08-30,39.25,40.5,39.25,39.75,4348700.0
2016-08-31,39.75,40.0,39.5,40.0,5331100.0
2016-09-01,40.0,40.25,39.5,39.75,2294700.0
2016-09-02,39.5,40.0,39.0,39.25,3070100.0
2016-09-05,39.25,39.25,38.0,38.25,6550400.0
2016-09-06,38.25,38.75,38.25,38.5,2418200.0
2016-09-07,38.5,39.25,38.5,38.75,4075800.0
2016-09-08,39.0,39.25,38.25,38.25,5212400.0
2016-09-09,38.25,39.0,38.0,38.5,4755600.0
2016-09-12,38.0,38.75,37.75,38.0,4902200.0
