Date,Open,High,Low,Close,Volume
2016-05-27,2.24,2.28,2.24,2.28,128212900.0
2016-05-30,2.28,2.32,2.28,2.32,225742400.0
2016-05-31,2.32,2.34,2.26,2.28,312388600.0
2016-06-01,2.28,2.3,2.26,2.26,159754700.0
2016-06-02,2.26,2.3,2.26,2.26,148301100.0
2016-06-03,2.28,2.32,2.26,2.28,350197300.0
2016-06-06,2.3,2.3,2.26,2.26,235099100.0
2016-06-07,2.28,2.28,2.24,2.24,345778700.0
2016-06-08,2.24,2.26,2.22,2.24,67534100.0
2016-06-09,2.24,2.26,2.22,2.22,145624200.0
2016-06-10,2.22,2.26,2.22,2.24,78734000.0
2016-06-13,2.22,2.24,2.22,2.22,60422400.0
2016-06-14,2.22,2.24,2.22,2.22,35930500.0
2016-06-15,2.22,2.24,2.2,2.24,140494800.0
2016-06-16,2.22,2.22,2.18,2.18,210160900.0
2016-06-17,2.2,2.22,2.18,2.2,67514500.0
2016-06-20,2.18,2.2,2.14,2.16,182493900.0
2016-06-21,2.16,2.2,2.16,2.18,60091700.0
2016-06-22,2.18,2.2,2.14,2.16,164024700.0
2016-06-23,2.16,2.18,2.14,2.16,196611200.0
2016-06-24,2.12,2.14,2.0,2.08,846223200.0
2016-06-27,2.1,2.22,2.1,2.22,411426200.0
2016-06-28,2.2,2.22,2.16,2.22,122844400.0
2016-06-29,2.22,2.24,2.18,2.2,233184200.0
2016-06-30,2.22,2.22,2.16,2.16,125377000.0
2016-07-04,2.18,2.24,2.18,2.22,274231500.0
2016-07-05,2.2,2.26,2.2,2.26,220746000.0
2016-07-06,2.24,2.26,2.22,2.22,78847500.0
2016-07-07,2.28,2.36,2.28,2.32,863782200.0
2016-07-08,2.32,2.32,2.26,2.28,270373300.0
2016-07-11,2.3,2.32,2.28,2.32,209466700.0
2016-07-12,2.3,2.32,2.28,2.3,156998200.0
2016-07-13,2.32,2.32,2.24,2.28,247408600.0
2016-07-14,2.28,2.3,2.24,2.28,208767500.0
2016-07-15,2.28,2.3,2.24,2.26,193511100.0
2016-07-20,2.28,2.34,2.26,2.34,286210700.0
2016-07-21,2.34,2.34,2.26,2.26,222866100.0
2016-07-22,2.28,2.3,2.26,2.28,76202600.0
